Community name,Area,Median income,Tree coverage percent
CRESTMONT,2697276,172000,18.8043077
SHAWNESSY,3648452,105000,8.242916984
CEDARBRAE,2030124,88000,11.42370809
YORKVILLE,1991755,112000,2.986792408
DOUGLASDALE/GLEN,6440723,130000,10.12320012
DIAMOND COVE,535395,135000,17.13405675
QUEENSLAND,1557735,91000,12.65499278
CANYON MEADOWS,3080032,100000,16.06505215
PARKLAND,1888516,125000,16.64852209
MIDNAPORE,2954723,91000,14.53904779
WOODLANDS,2804511,95000,16.36251481
WOODBINE,3227460,115000,12.76782651
SHAWNEE SLOPES,1250305,100000,10.22972392
DEER RUN,1919432,102000,14.37242041
MAHOGANY,6300516,142000,1.187834198
AUBURN BAY,4524774,125000,2.820660672
SPRINGBANK HILL,6506552,152000,14.00560279
ASPEN WOODS,3993985,182000,14.14854833
CORAL SPRINGS,1783658,121000,3.25272846
BONAVISTA DOWNS,570950,93000,9.552457264
MARLBOROUGH PARK,2488146,81000,8.507838419
BOWNESS,5629210,72000,21.01870614
APPLEWOOD PARK,1554518,87000,4.935542048
FALCONRIDGE,2142826,83000,7.159866699
SHEPARD INDUSTRIAL,4195830,61200,1.625400807
RIVERBEND,4061394,118000,12.56772356
CRANSTON,8257925,131000,6.472112685
LAKE BONAVISTA,5262480,131000,14.35340086
PINERIDGE,2639696,76000,10.42158162
SCENIC ACRES,4435786,134000,10.38443817
TEMPLE,2637147,87000,9.617563266
LEGACY,6085020,105000,12.75192105
MONTEREY PARK,3484458,95000,5.001354642
MCKENZIE LAKE,5067197,133000,12.0223206
SILVER SPRINGS,5016865,106000,17.97768827
WOLF WILLOW,2854811,112000,6.032550508
SUNDANCE,3980690,129000,9.939469838
ABBEYDALE,1703618,88000,8.015136531
MAYLAND HEIGHTS,2023010,73500,11.53579089
OGDEN,4139076,75500,15.58477695
FISH CREEK PARK,15284664,92000,25.19005945
MARLBOROUGH,2656214,80000,9.182456254
WHITEHORN,2641777,88000,10.92247758
RUNDLE,2641111,83000,10.37722275
HUNTINGTON HILLS,4769954,78000,10.77115774
WEST HILLHURST,2359115,123000,15.93887968
SCARBORO,455522,268000,27.01818281
SUNALTA,937833,58000,11.33607941
SHAGANAPPI,1481269,83000,27.54927732
PANORAMA HILLS,6335982,112000,3.910061593
MCKENZIE TOWNE,4824961,104000,5.65559039
COUGAR RIDGE,2262841,151000,19.77171768
CHAPARRAL,5447714,134000,4.398150715
COVENTRY HILLS,4084574,114000,4.560077429
TARADALE,2844437,100000,2.680148525
NEW BRIGHTON,2846957,127000,3.258308033
SHERWOOD,2393803,108000,1.83583669
ROCKY RIDGE,2808624,118000,9.336974559
BRIDLEWOOD,3141582,105000,4.153553689
TUSCANY,6799858,142000,9.326675086
ROYAL OAK,3562652,120000,6.367009163
EVERGREEN,4906419,122000,5.467073482
COUNTRY HILLS VILLAGE,952212,70000,2.646466525
SCARBORO/SUNALTA WEST,354444,138000,20.39796987
WALDEN,2460344,109000,3.642116619
